record_id,month_views,month_unique_views,month_downloads,month_unique_downloads,all_time_views,all_time_unique_views,all_time_downloads,all_time_unique_downloads
10650788,11,10,15,13,249,231,336,293
11443919,39,34,11,9,714,628,198,178
13342835,17,14,11,10,274,239,188,169
13950761,8,7,6,5,143,126,105,80
13950819,5,4,7,6,88,77,119,97
13968847,6,5,8,6,99,90,130,108
13968899,5,4,8,6,78,72,121,104
13969093,8,7,8,7,120,111,131,113
13969097,4,4,5,5,67,66,89,86
13969192,4,4,5,4,71,66,80,68
13969194,4,3,6,5,61,57,91,84
14859938,56,53,9,9,680,640,115,114
15357004,79,72,131,118,159,145,263,237
17736309,25,19,17,14,76,59,51,44
18402281,21,18,25,18,21,18,25,18
GRAND TOTAL,292,258,272,235,2900,2625,2042,1793
